# Summary: Whole-Script Confusables
# File: confusablesWholeScript.txt
# Version: 2.0
# Generated: 2006-08-15, 04:35:21 GMT
# Checkin: $Revision: 1.11 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# This data is used for determining whether a strings is a
# whole-script or mixed-script confusable.
# The mappings here ignore common and inherited script characters,
# such as accents.

# Lowercase Only

# Armenian; Cherokee: [հ]

0570          ; Armn; Cher; L #      (հ)  ARMENIAN SMALL LETTER HO
# Gujarati; Latin: [૦]

0AE6          ; Gujr; Latn; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Malayalam: [૦]

0AE6          ; Gujr; Mlym; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Myanmar: [૦]

0AE6          ; Gujr; Mymr; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Oriya: [઼]

0ABC          ; Gujr; Orya; L #      (઼)  GUJARATI SIGN NUKTA

# Total code points: 1

# Gujarati; Tamil: [ં]

0A82          ; Gujr; Taml; L #      (ં)  GUJARATI SIGN ANUSVARA

# Total code points: 1

# Gujarati; Telugu: [૦]

0AE6          ; Gujr; Telu; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Thai: [૦]

0AE6          ; Gujr; Thai; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Armenian: [੦]

0A66          ; Guru; Armn; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Bengali: [਼੧੪]

0A3C          ; Guru; Beng; L #      (਼)  GURMUKHI SIGN NUKTA
0A67          ; Guru; Beng; L #      (੧)  GURMUKHI DIGIT ONE
0A6A          ; Guru; Beng; L #      (੪)  GURMUKHI DIGIT FOUR

# Total code points: 3

# Gurmukhi; Cyrillic: [੦]

0A66          ; Guru; Cyrl; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Devanagari: [ਂ਼ੋ੍੦]

0A02          ; Guru; Deva; L #      (ਂ)  GURMUKHI SIGN BINDI
0A3C          ; Guru; Deva; L #      (਼)  GURMUKHI SIGN NUKTA
0A4B          ; Guru; Deva; L #      (ੋ)  GURMUKHI VOWEL SIGN OO
0A4D          ; Guru; Deva; L #      (੍)  GURMUKHI SIGN VIRAMA
0A66          ; Guru; Deva; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 5

# Gurmukhi; Greek: [੦]

0A66          ; Guru; Grek; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Gujarati: [ਂ਼੍੦]

0A02          ; Guru; Gujr; L #      (ਂ)  GURMUKHI SIGN BINDI
0A3C          ; Guru; Gujr; L #      (਼)  GURMUKHI SIGN NUKTA
0A4D          ; Guru; Gujr; L #      (੍)  GURMUKHI SIGN VIRAMA
0A66          ; Guru; Gujr; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 4

# Gurmukhi; Hebrew: [ਂ]

0A02          ; Guru; Hebr; L #      (ਂ)  GURMUKHI SIGN BINDI

# Total code points: 1

# Gurmukhi; Kannada: [੦]

0A66          ; Guru; Knda; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Lao: [੦]

0A66          ; Guru; Laoo; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Latin: [੦੪]

0A66          ; Guru; Latn; L #      (੦)  GURMUKHI DIGIT ZERO
0A6A          ; Guru; Latn; L #      (੪)  GURMUKHI DIGIT FOUR

# Total code points: 2

# Gurmukhi; Malayalam: [੦]

0A66          ; Guru; Mlym; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Myanmar: [੦]

0A66          ; Guru; Mymr; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Oriya: [਼੧੪]

0A3C          ; Guru; Orya; L #      (਼)  GURMUKHI SIGN NUKTA
0A67          ; Guru; Orya; L #      (੧)  GURMUKHI DIGIT ONE
0A6A          ; Guru; Orya; L #      (੪)  GURMUKHI DIGIT FOUR

# Total code points: 3

# Gurmukhi; Tamil: [ਂ]

0A02          ; Guru; Taml; L #      (ਂ)  GURMUKHI SIGN BINDI

# Total code points: 1

# Gurmukhi; Telugu: [੦]

0A66          ; Guru; Telu; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Thai: [੦]

0A66          ; Guru; Thai; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Han; Bengali: [〇]

3007          ; Hani; Beng; L #      (〇)  IDEOGRAPHIC NUMBER ZERO

# Total code points: 1

# Han; Cherokee: [〇]

3007          ; Hani; Cher; L #      (〇)  IDEOGRAPHIC NUMBER ZERO

# Total code points: 1

# Han; Malayalam: [〇]

3007          ; Hani; Mlym; L #      (〇)  IDEOGRAPHIC NUMBER ZERO

# Total code points: 1

# Han; Mongolian: [〇]

3007          ; Hani; Mong; L #      (〇)  IDEOGRAPHIC NUMBER ZERO

# Total code points: 1

# Han; Oriya: [〇]

3007          ; Hani; Orya; L #      (〇)  IDEOGRAPHIC NUMBER ZERO

# Total code points: 1

# Hebrew; Devanagari: [ֹׁׂ֜ׄ]

059C          ; Hebr; Deva; L #      (֜)  HEBREW ACCENT GERESH
05B9          ; Hebr; Deva; L #      (ֹ)  HEBREW POINT HOLAM
05C1..05C2    ; Hebr; Deva; L #  [2] (ׁ..ׂ)  HEBREW POINT SHIN DOT..HEBREW POINT SIN DOT
05C4          ; Hebr; Deva; L #      (ׄ)  HEBREW MARK UPPER DOT

# Total code points: 5

# Hebrew; Gujarati: [ֹׁׂׄ]

05B9          ; Hebr; Gujr; L #      (ֹ)  HEBREW POINT HOLAM
05C1..05C2    ; Hebr; Gujr; L #  [2] (ׁ..ׂ)  HEBREW POINT SHIN DOT..HEBREW POINT SIN DOT
05C4          ; Hebr; Gujr; L #      (ׄ)  HEBREW MARK UPPER DOT

# Total code points: 4

# Hebrew; Gurmukhi: [ֹׁׂׄ]

05B9          ; Hebr; Guru; L #      (ֹ)  HEBREW POINT HOLAM
05C1..05C2    ; Hebr; Guru; L #  [2] (ׁ..ׂ)  HEBREW POINT SHIN DOT..HEBREW POINT SIN DOT
05C4          ; Hebr; Guru; L #      (ׄ)  HEBREW MARK UPPER DOT

# Total code points: 4

# Hebrew; Khmer: [֯]

05AF          ; Hebr; Khmr; L #      (֯)  HEBREW MARK MASORA CIRCLE

# Total code points: 1

# Hebrew; Lao: [֯]

05AF          ; Hebr; Laoo; L #      (֯)  HEBREW MARK MASORA CIRCLE

# Total code points: 1

# Hebrew; Myanmar: [֯]

05AF          ; Hebr; Mymr; L #      (֯)  HEBREW MARK MASORA CIRCLE

# Total code points: 1

# Hebrew; Tamil: [ֹׁׂ֯ׄ]

05AF          ; Hebr; Taml; L #      (֯)  HEBREW MARK MASORA CIRCLE
05B9          ; Hebr; Taml; L #      (ֹ)  HEBREW POINT HOLAM
05C1..05C2    ; Hebr; Taml; L #  [2] (ׁ..ׂ)  HEBREW POINT SHIN DOT..HEBREW POINT SIN DOT
05C4          ; Hebr; Taml; L #      (ׄ)  HEBREW MARK UPPER DOT

# Total code points: 5

# Hebrew; Thai: [֯]

05AF          ; Hebr; Thai; L #      (֯)  HEBREW MARK MASORA CIRCLE

# Total code points: 1

# Hiragana; Katakana: [へ]

3078          ; Hira; Kana; L #      (へ)  HIRAGANA LETTER HE

# Total code points: 1

# Kannada; Armenian: [ಂ೦]

0C82          ; Knda; Armn; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Armn; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Cyrillic: [ಂ೦]

0C82          ; Knda; Cyrl; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Cyrl; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Devanagari: [ಂ೦]

0C82          ; Knda; Deva; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Deva; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Greek: [ಂ೦]

0C82          ; Knda; Grek; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Grek; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Gujarati: [ಂ೦]

0C82          ; Knda; Gujr; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Gujr; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Gurmukhi: [ಂ೦]

0C82          ; Knda; Guru; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Guru; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Lao: [ಂ೦]

0C82          ; Knda; Laoo; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Laoo; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Latin: [ಂ೦]

0C82          ; Knda; Latn; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Latn; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Malayalam: [ಂ೦]

0C82          ; Knda; Mlym; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Mlym; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Myanmar: [ಂ೦]

0C82          ; Knda; Mymr; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Mymr; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Kannada; Telugu: [ಂಃಅ-ಇಒ-ಔಜಞಣಯಱಲೌ೦-೨೯]

0C82..0C83    ; Knda; Telu; L #  [2] (ಂ..ಃ)  KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0C85..0C87    ; Knda; Telu; L #  [3] (ಅ..ಇ)  KANNADA LETTER A..KANNADA LETTER I
0C92..0C94    ; Knda; Telu; L #  [3] (ಒ..ಔ)  KANNADA LETTER O..KANNADA LETTER AU
0C9C          ; Knda; Telu; L #      (ಜ)  KANNADA LETTER JA
0C9E          ; Knda; Telu; L #      (ಞ)  KANNADA LETTER NYA
0CA3          ; Knda; Telu; L #      (ಣ)  KANNADA LETTER NNA
0CAF          ; Knda; Telu; L #      (ಯ)  KANNADA LETTER YA
0CB1..0CB2    ; Knda; Telu; L #  [2] (ಱ..ಲ)  KANNADA LETTER RRA..KANNADA LETTER LA
0CCC          ; Knda; Telu; L #      (ೌ)  KANNADA VOWEL SIGN AU
0CE6..0CE8    ; Knda; Telu; L #  [3] (೦..೨)  KANNADA DIGIT ZERO..KANNADA DIGIT TWO
0CEF          ; Knda; Telu; L #      (೯)  KANNADA DIGIT NINE

# Total code points: 19

# Kannada; Thai: [ಂ೦]

0C82          ; Knda; Thai; L #      (ಂ)  KANNADA SIGN ANUSVARA
0CE6          ; Knda; Thai; L #      (೦)  KANNADA DIGIT ZERO

# Total code points: 2

# Katakana; Hiragana: [ヘ]

30D8          ; Kana; Hira; L #      (ヘ)  KATAKANA LETTER HE

# Total code points: 1

# Khmer; Hebrew: [ំ]

17C6          ; Khmr; Hebr; L #      (ំ)  KHMER SIGN NIKAHIT

# Total code points: 1

# Khmer; Lao: [ំ់]

17C6          ; Khmr; Laoo; L #      (ំ)  KHMER SIGN NIKAHIT
17CB          ; Khmr; Laoo; L #      (់)  KHMER SIGN BANTOC

# Total code points: 2

# Khmer; Myanmar: [ំ]

17C6          ; Khmr; Mymr; L #      (ំ)  KHMER SIGN NIKAHIT

# Total code points: 1

# Khmer; Tamil: [ំ]

17C6          ; Khmr; Taml; L #      (ំ)  KHMER SIGN NIKAHIT

# Total code points: 1

# Khmer; Thai: [ិ-ឺំ់]

17B7..17BA    ; Khmr; Thai; L #  [4] (ិ..ឺ)  KHMER VOWEL SIGN I..KHMER VOWEL SIGN YY
17C6          ; Khmr; Thai; L #      (ំ)  KHMER SIGN NIKAHIT
17CB          ; Khmr; Thai; L #      (់)  KHMER SIGN BANTOC

# Total code points: 6

# Lao; Armenian: [໐]

0ED0          ; Laoo; Armn; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Cyrillic: [໐]

0ED0          ; Laoo; Cyrl; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Devanagari: [໐]

0ED0          ; Laoo; Deva; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Greek: [໐]

0ED0          ; Laoo; Grek; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Gujarati: [໐]

0ED0          ; Laoo; Gujr; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Gurmukhi: [໐]

0ED0          ; Laoo; Guru; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Hebrew: [ໍ]

0ECD          ; Laoo; Hebr; L #      (ໍ)  LAO NIGGAHITA

# Total code points: 1

# Lao; Kannada: [໐]

0ED0          ; Laoo; Knda; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Khmer: [່ໍ]

0EC8          ; Laoo; Khmr; L #      (່)  LAO TONE MAI EK
0ECD          ; Laoo; Khmr; L #      (ໍ)  LAO NIGGAHITA

# Total code points: 2

# Lao; Latin: [໐]

0ED0          ; Laoo; Latn; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Malayalam: [໐]

0ED0          ; Laoo; Mlym; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Myanmar: [ໍ໐]

0ECD          ; Laoo; Mymr; L #      (ໍ)  LAO NIGGAHITA
0ED0          ; Laoo; Mymr; L #      (໐)  LAO DIGIT ZERO

# Total code points: 2

# Lao; Tamil: [ໍ]

0ECD          ; Laoo; Taml; L #      (ໍ)  LAO NIGGAHITA

# Total code points: 1

# Lao; Telugu: [໐]

0ED0          ; Laoo; Telu; L #      (໐)  LAO DIGIT ZERO

# Total code points: 1

# Lao; Thai: [ຈຍບປຝ-ຟຸູ່-໋ໍ໐]

0E88          ; Laoo; Thai; L #      (ຈ)  LAO LETTER CO
0E8D          ; Laoo; Thai; L #      (ຍ)  LAO LETTER NYO
0E9A..0E9B    ; Laoo; Thai; L #  [2] (ບ..ປ)  LAO LETTER BO..LAO LETTER PO
0E9D..0E9F    ; Laoo; Thai; L #  [3] (ຝ..ຟ)  LAO LETTER FO TAM..LAO LETTER FO SUNG
0EB8..0EB9    ; Laoo; Thai; L #  [2] (ຸ..ູ)  LAO VOWEL SIGN U..LAO VOWEL SIGN UU
0EC8..0ECB    ; Laoo; Thai; L #  [4] (່..໋)  LAO TONE MAI EK..LAO TONE MAI CATAWA
0ECD          ; Laoo; Thai; L #      (ໍ)  LAO NIGGAHITA
0ED0          ; Laoo; Thai; L #      (໐)  LAO DIGIT ZERO

# Total code points: 15

# Latin; Armenian: [f-hjlnoquøħƒƞơǥǿɠɵʊʋ]

0066..0068    ; Latn; Armn; L #  [3] (f..h)  LATIN SMALL LETTER F..LATIN SMALL LETTER H
006A          ; Latn; Armn; L #      (j)  LATIN SMALL LETTER J
006C          ; Latn; Armn; L #      (l)  LATIN SMALL LETTER L
006E..006F    ; Latn; Armn; L #  [2] (n..o)  LATIN SMALL LETTER N..LATIN SMALL LETTER O
0071          ; Latn; Armn; L #      (q)  LATIN SMALL LETTER Q
0075          ; Latn; Armn; L #      (u)  LATIN SMALL LETTER U
00F8          ; Latn; Armn; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
0127          ; Latn; Armn; L #      (ħ)  LATIN SMALL LETTER H WITH STROKE
0192          ; Latn; Armn; L #      (ƒ)  LATIN SMALL LETTER F WITH HOOK
019E          ; Latn; Armn; L #      (ƞ)  LATIN SMALL LETTER N WITH LONG RIGHT LEG
01A1          ; Latn; Armn; L #      (ơ)  LATIN SMALL LETTER O WITH HORN
01E5          ; Latn; Armn; L #      (ǥ)  LATIN SMALL LETTER G WITH STROKE
01FF          ; Latn; Armn; L #      (ǿ)  LATIN SMALL LETTER O WITH STROKE AND ACUTE
0260          ; Latn; Armn; L #      (ɠ)  LATIN SMALL LETTER G WITH HOOK
0275          ; Latn; Armn; L #      (ɵ)  LATIN SMALL LETTER BARRED O
028A..028B    ; Latn; Armn; L #  [2] (ʊ..ʋ)  LATIN SMALL LETTER UPSILON..LATIN SMALL LETTER V WITH HOOK

# Total code points: 20

# Latin; Bengali: [ȣ]

0223          ; Latn; Beng; L #      (ȣ)  LATIN SMALL LETTER OU

# Total code points: 1

# Latin; Cherokee: [bhilpwyħıłƃƚƥƴɓɨɩɯ]

0062          ; Latn; Cher; L #      (b)  LATIN SMALL LETTER B
0068..0069    ; Latn; Cher; L #  [2] (h..i)  LATIN SMALL LETTER H..LATIN SMALL LETTER I
006C          ; Latn; Cher; L #      (l)  LATIN SMALL LETTER L
0070          ; Latn; Cher; L #      (p)  LATIN SMALL LETTER P
0077          ; Latn; Cher; L #      (w)  LATIN SMALL LETTER W
0079          ; Latn; Cher; L #      (y)  LATIN SMALL LETTER Y
0127          ; Latn; Cher; L #      (ħ)  LATIN SMALL LETTER H WITH STROKE
0131          ; Latn; Cher; L #      (ı)  LATIN SMALL LETTER DOTLESS I
0142          ; Latn; Cher; L #      (ł)  LATIN SMALL LETTER L WITH STROKE
0183          ; Latn; Cher; L #      (ƃ)  LATIN SMALL LETTER B WITH TOPBAR
019A          ; Latn; Cher; L #      (ƚ)  LATIN SMALL LETTER L WITH BAR
01A5          ; Latn; Cher; L #      (ƥ)  LATIN SMALL LETTER P WITH HOOK
01B4          ; Latn; Cher; L #      (ƴ)  LATIN SMALL LETTER Y WITH HOOK
0253          ; Latn; Cher; L #      (ɓ)  LATIN SMALL LETTER B WITH HOOK
0268..0269    ; Latn; Cher; L #  [2] (ɨ..ɩ)  LATIN SMALL LETTER I WITH STROKE..LATIN SMALL LETTER IOTA
026F          ; Latn; Cher; L #      (ɯ)  LATIN SMALL LETTER TURNED M

# Total code points: 18

# Latin; Cyrillic: [a-eh-jloprsvxyæøđħıĸłƃƅƌƚơƥƴƽǝǿɓɖɗəɛɨɩɵʒ]

0061..0065    ; Latn; Cyrl; L #  [5] (a..e)  LATIN SMALL LETTER A..LATIN SMALL LETTER E
0068..006A    ; Latn; Cyrl; L #  [3] (h..j)  LATIN SMALL LETTER H..LATIN SMALL LETTER J
006C          ; Latn; Cyrl; L #      (l)  LATIN SMALL LETTER L
006F..0070    ; Latn; Cyrl; L #  [2] (o..p)  LATIN SMALL LETTER O..LATIN SMALL LETTER P
0072..0073    ; Latn; Cyrl; L #  [2] (r..s)  LATIN SMALL LETTER R..LATIN SMALL LETTER S
0076          ; Latn; Cyrl; L #      (v)  LATIN SMALL LETTER V
0078..0079    ; Latn; Cyrl; L #  [2] (x..y)  LATIN SMALL LETTER X..LATIN SMALL LETTER Y
00E6          ; Latn; Cyrl; L #      (æ)  LATIN SMALL LETTER AE
00F8          ; Latn; Cyrl; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
0111          ; Latn; Cyrl; L #      (đ)  LATIN SMALL LETTER D WITH STROKE
0127          ; Latn; Cyrl; L #      (ħ)  LATIN SMALL LETTER H WITH STROKE
0131          ; Latn; Cyrl; L #      (ı)  LATIN SMALL LETTER DOTLESS I
0138          ; Latn; Cyrl; L #      (ĸ)  LATIN SMALL LETTER KRA
0142          ; Latn; Cyrl; L #      (ł)  LATIN SMALL LETTER L WITH STROKE
0183          ; Latn; Cyrl; L #      (ƃ)  LATIN SMALL LETTER B WITH TOPBAR
0185          ; Latn; Cyrl; L #      (ƅ)  LATIN SMALL LETTER TONE SIX
018C          ; Latn; Cyrl; L #      (ƌ)  LATIN SMALL LETTER D WITH TOPBAR
019A          ; Latn; Cyrl; L #      (ƚ)  LATIN SMALL LETTER L WITH BAR
01A1          ; Latn; Cyrl; L #      (ơ)  LATIN SMALL LETTER O WITH HORN
01A5          ; Latn; Cyrl; L #      (ƥ)  LATIN SMALL LETTER P WITH HOOK
01B4          ; Latn; Cyrl; L #      (ƴ)  LATIN SMALL LETTER Y WITH HOOK
01BD          ; Latn; Cyrl; L #      (ƽ)  LATIN SMALL LETTER TONE FIVE
01DD          ; Latn; Cyrl; L #      (ǝ)  LATIN SMALL LETTER TURNED E
01FF          ; Latn; Cyrl; L #      (ǿ)  LATIN SMALL LETTER O WITH STROKE AND ACUTE
0253          ; Latn; Cyrl; L #      (ɓ)  LATIN SMALL LETTER B WITH HOOK
0256..0257    ; Latn; Cyrl; L #  [2] (ɖ..ɗ)  LATIN SMALL LETTER D WITH TAIL..LATIN SMALL LETTER D WITH HOOK
0259          ; Latn; Cyrl; L #      (ə)  LATIN SMALL LETTER SCHWA
025B          ; Latn; Cyrl; L #      (ɛ)  LATIN SMALL LETTER OPEN E
0268..0269    ; Latn; Cyrl; L #  [2] (ɨ..ɩ)  LATIN SMALL LETTER I WITH STROKE..LATIN SMALL LETTER IOTA
0275          ; Latn; Cyrl; L #      (ɵ)  LATIN SMALL LETTER BARRED O
0292          ; Latn; Cyrl; L #      (ʒ)  LATIN SMALL LETTER EZH

# Total code points: 42

# Latin; Devanagari: [oøơǿɵ]

006F          ; Latn; Deva; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Deva; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Deva; L #      (ơ)  LATIN SMALL LETTER O WITH HORN
01FF          ; Latn; Deva; L #      (ǿ)  LATIN SMALL LETTER O WITH STROKE AND ACUTE
0275          ; Latn; Deva; L #      (ɵ)  LATIN SMALL LETTER BARRED O

# Total code points: 5

# Latin; Georgian: [yƴ]

0079          ; Latn; Geor; L #      (y)  LATIN SMALL LETTER Y
01B4          ; Latn; Geor; L #      (ƴ)  LATIN SMALL LETTER Y WITH HOOK

# Total code points: 2

# Latin; Greek: [in-puvøıĸƞơƥǿɛɨɩɵʊʋ]

0069          ; Latn; Grek; L #      (i)  LATIN SMALL LETTER I
006E..0070    ; Latn; Grek; L #  [3] (n..p)  LATIN SMALL LETTER N..LATIN SMALL LETTER P
0075..0076    ; Latn; Grek; L #  [2] (u..v)  LATIN SMALL LETTER U..LATIN SMALL LETTER V
00F8          ; Latn; Grek; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
0131          ; Latn; Grek; L #      (ı)  LATIN SMALL LETTER DOTLESS I
0138          ; Latn; Grek; L #      (ĸ)  LATIN SMALL LETTER KRA
019E          ; Latn; Grek; L #      (ƞ)  LATIN SMALL LETTER N WITH LONG RIGHT LEG
01A1          ; Latn; Grek; L #      (ơ)  LATIN SMALL LETTER O WITH HORN
01A5          ; Latn; Grek; L #      (ƥ)  LATIN SMALL LETTER P WITH HOOK
01FF          ; Latn; Grek; L #      (ǿ)  LATIN SMALL LETTER O WITH STROKE AND ACUTE
025B          ; Latn; Grek; L #      (ɛ)  LATIN SMALL LETTER OPEN E
0268..0269    ; Latn; Grek; L #  [2] (ɨ..ɩ)  LATIN SMALL LETTER I WITH STROKE..LATIN SMALL LETTER IOTA
0275          ; Latn; Grek; L #      (ɵ)  LATIN SMALL LETTER BARRED O
028A..028B    ; Latn; Grek; L #  [2] (ʊ..ʋ)  LATIN SMALL LETTER UPSILON..LATIN SMALL LETTER V WITH HOOK

# Total code points: 19

# Latin; Gujarati: [oøơǿɵ]

006F          ; Latn; Gujr; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Gujr; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Gujr; L #      (ơ)  LATIN SMALL LETTER O WITH HORN
01FF          ; Latn; Gujr; L #      (ǿ)  LATIN SMALL LETTER O WITH STROKE AND ACUTE
0275          ; Latn; Gujr; L #      (ɵ)  LATIN SMALL LETTER BARRED O

# Total code points: 5

# Latin; Gurmukhi: [oøơǿȣɵ]

006F          ; Latn; Guru; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Guru; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Guru; L #      (ơ)  LATIN SMALL LETTER O WITH HORN
01FF          ; Latn; Guru; L #      (ǿ)  LATIN SMALL LETTER O WITH STROKE AND ACUTE
0223          ; Latn; Guru; L #      (ȣ)  LATIN SMALL LETTER OU
0275          ; Latn; Guru; L #      (ɵ)  LATIN SMALL LETTER BARRED O

# Total code points: 6

# Latin; Kannada: [oøơǿɵ]

006F          ; Latn; Knda; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Knda; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Knda; L #      (ơ)  LATIN SMALL LETTER O WITH HORN
01FF          ; Latn; Knda; L #      (ǿ)  LATIN SMALL LETTER O WITH STROKE AND ACUTE
0275          ; Latn; Knda; L #      (ɵ)  LATIN SMALL LETTER BARRED O

# Total code points: 5

# Latin; Lao: [oøơǿɵ]

006F          ; Latn; Laoo; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Laoo; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Laoo; L #      (ơ)  LATIN SMALL LETTER O WITH HORN
01FF          ; Latn; Laoo; L #      (ǿ)  LATIN SMALL LETTER O WITH STROKE AND ACUTE
0275          ; Latn; Laoo; L #      (ɵ)  LATIN SMALL LETTER BARRED O

# Total code points: 5

# Latin; Malayalam: [oøơǿɵ]

006F          ; Latn; Mlym; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Mlym; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Mlym; L #      (ơ)  LATIN SMALL LETTER O WITH HORN
01FF          ; Latn; Mlym; L #      (ǿ)  LATIN SMALL LETTER O WITH STROKE AND ACUTE
0275          ; Latn; Mlym; L #      (ɵ)  LATIN SMALL LETTER BARRED O

# Total code points: 5

# Latin; Myanmar: [oøơǿɵ]

006F          ; Latn; Mymr; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Mymr; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Mymr; L #      (ơ)  LATIN SMALL LETTER O WITH HORN
01FF          ; Latn; Mymr; L #      (ǿ)  LATIN SMALL LETTER O WITH STROKE AND ACUTE
0275          ; Latn; Mymr; L #      (ɵ)  LATIN SMALL LETTER BARRED O

# Total code points: 5

# Latin; Oriya: [ȣ]

0223          ; Latn; Orya; L #      (ȣ)  LATIN SMALL LETTER OU

# Total code points: 1

# Latin; Telugu: [oøơǿɵ]

006F          ; Latn; Telu; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Telu; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
01A1          ; Latn; Telu; L #      (ơ)  LATIN SMALL LETTER O WITH HORN
01FF          ; Latn; Telu; L #      (ǿ)  LATIN SMALL LETTER O WITH STROKE AND ACUTE
0275          ; Latn; Telu; L #      (ɵ)  LATIN SMALL LETTER BARRED O

# Total code points: 5

# Latin; Thai: [oøơǿɵ]

006F          ; Latn; Thai; L #      (o)  LATIN SMALL LETTER O
00F8          ; Latn; Thai; L #      (ø)  LATIN SMALL LETTER O WITH STROKE
